ID,Business,Year_Of_Commitment ,Guaranteed_Approved _Loan,Borrower_Name ,Low_Documentation_Loan,Demography,ChargedOff_Amount ,Count_Employees,Classification_Code ,Loan_Approved_Gross,Gross_Amount_Disbursed  ,Loan_Term,Code_Franchise,Name_Of_Bank,Revolving_Credit_Line,Target
0,Existing,1991,Rs.33121600.0,STANDARD PARTS CORPORATION,No,Undefined,Rs.0.0,38,0,Rs.40640000.0,Rs.40640000.0,126,1,Axis Bank Ltd.,No,0
1,New,2006,Rs.32735520.0,FRANK & KERI AMESTOY,No,Urban,Rs.38283367.68,6,451120,Rs.43647360.0,Rs.43647360.0,123,1,Bandhan Bank Ltd.,0,1
2,Existing,2004,Rs.1422400.0,TELECOMMQC L L C,No,Urban,Rs.0.0,4,541618,Rs.2844800.0,Rs.5961400.32,90,1,CSB Bank Limited,Yes,0
3,New,2006,Rs.2032000.0,"K & A AUTOMOTIVE, INC. DBA MUF",No,Urban,Rs.0.0,7,811112,Rs.4064000.0,Rs.4064000.0,126,0,City Union Bank Ltd.,Yes,0
4,Existing,2005,Rs.22981920.0,SUNBEAM DELI,No,Urban,Rs.22862519.68,4,722211,Rs.30642560.0,Rs.30642560.0,104,1,DCB Bank Ltd.,0,1
5,Existing,2001,Rs.203200.0,OFFICE REFRESHMENTS,No,Urban,Rs.0.0,3,454210,Rs.406400.0,Rs.406400.0,126,1,City Union Bank Ltd.,T,0
6,New,2007,Rs.1016000.0,"Diffusion Limited, LLC",No,Urban,Rs.2022896.6400000001,2,541618,Rs.2032000.0,Rs.7063232.0,96,0,Dhanlaxmi Bank Ltd.,Yes,1
7,Existing,1996,Rs.3352800.0,VALI CINEMA & DRIVE IN,No,Undefined,Rs.0.0,10,512131,Rs.4470400.0,Rs.4470400.0,270,1,Federal Bank Ltd.,No,0
8,New,2007,Rs.4925568.0,"J & K Fitness, Inc.",No,Urban,Rs.0.0,1,713940,Rs.9851136.0,Rs.9851136.0,126,0,HDFC Bank Ltd,No,0
9,Existing,2002,Rs.406400.0,SALON PROGRESSIONS LLC,No,Urban,Rs.0.0,16,812112,Rs.812800.0,Rs.812800.0,126,1,ICICI Bank Ltd.,Yes,0
10,Existing,1997,Rs.6502400.0,"COMPANY C, INC.",No,Undefined,Rs.0.0,5,0,Rs.8128000.0,Rs.8128000.0,126,1,IndusInd Bank Ltd,No,0
11,Existing,2005,Rs.406400.0,DARREN DREILING PHOTOGRAPHY,No,Urban,Rs.812718.72,1,541921,Rs.812800.0,Rs.1414190.72,90,1,IDFC FIRST Bank Limited,Yes,1
12,Existing,2009,Rs.2032000.0,"J.D. Floorworks, Inc. dba Floo",No,Urban,Rs.511088.64,1,442210,Rs.4064000.0,Rs.8292835.84,75,0,Bandhan Bank Ltd.,Yes,1
13,Existing,2005,Rs.1016000.0,"2201 Shore, Inc.",No,Rural,Rs.0.0,6,722211,Rs.2032000.0,Rs.4010517.7600000002,87,0,HDFC Bank Ltd,Yes,0
14,New,2005,Rs.2032000.0,"IMPRESSIVE DENTAL ARTS, LLC",No,Urban,Rs.0.0,4,339114,Rs.4064000.0,Rs.7948940.16,126,1,Jammu & Kashmir Bank Ltd.,Yes,0
15,New,2005,Rs.4064000.0,"COMMERCIAL SERVICES EXPRESS, I",No,Urban,Rs.7797352.96,2,423440,Rs.8128000.0,Rs.8128000.0,0,0,City Union Bank Ltd.,No,1
16,Existing,2005,Rs.9672320.0,"AR BROOKS, LLC",Yes,Urban,Rs.0.0,7,722110,Rs.11379200.0,Rs.11379200.0,135,89769,Karnataka Bank Ltd.,0,0
17,New,2008,Rs.203200.0,Le Bouder LLC,No,Urban,Rs.0.0,1,541618,Rs.406400.0,Rs.528320.0,126,0,ICICI Bank Ltd.,Yes,0
18,Existing,2010,Rs.1016000.0,Advance Industries Inc,No,Urban,Rs.0.0,2,238330,Rs.2032000.0,Rs.3575263.36,126,0,Karur Vysya Bank Ltd.,Yes,0
19,Existing,1993,Rs.5746496.0,TIMELINE MUSIC,No,Undefined,Rs.0.0,3,339992,Rs.8209280.0,Rs.8209280.0,360,1,Kotak Mahindra Bank Ltd,No,0
20,Existing,2005,Rs.1910080.0,"Sap-Sap, LLC dba East West Gri",No,Urban,Rs.2011192.32,3,722211,Rs.3820160.0,Rs.7750210.5600000005,28,0,ICICI Bank Ltd.,Yes,1
21,Existing,2005,Rs.28956000.0,COMPASS VISION INC,No,Urban,Rs.0.0,9,621511,Rs.38608000.0,Rs.38608000.0,126,1,Nainital bank Ltd.,0,0
22,Existing,1994,Rs.2926080.0,TACO MAYO,Yes,Undefined,Rs.0.0,18,0,Rs.3251200.0,Rs.3251200.0,126,80159,RBL Bank Ltd.,No,0
23,Existing,1993,Rs.50466752.0,LAW OFFICE OF PHILIP H AZAR II,No,Undefined,Rs.0.0,8,541110,Rs.72095360.0,Rs.72095360.0,360,1,South Indian Bank Ltd.,No,0
24,New,2006,Rs.690880.0,CSC&E,No,Urban,Rs.113385.6,1,238210,Rs.812800.0,Rs.812800.0,3,1,Tamilnad Mercantile Bank Ltd.,0,1
25,Existing,2009,Rs.5283200.0,"Hi Rise Amenities, Inc.",No,Urban,Rs.0.0,13,722211,Rs.10566400.0,Rs.10566400.0,90,0,Dhanlaxmi Bank Ltd.,No,0
26,Existing,2011,Rs.234696000.0,"B&A HOLDINGS, LLC",No,Rural,Rs.0.0,33,721110,Rs.312928000.0,Rs.312521600.0,324,0,YES Bank Ltd.,No,0
27,Existing,1994,Rs.18288000.0,STRAHAN POULTRY FARM,No,Undefined,Rs.0.0,1,112320,Rs.24384000.0,Rs.24384000.0,216,1,Dhanlaxmi Bank Ltd.,No,0
28,New,2007,Rs.609600.0,"EPIC BIKE AND SPORT, INC.",No,Urban,Rs.0.0,3,451110,Rs.1219200.0,Rs.5498510.72,126,0,Karur Vysya Bank Ltd.,Yes,0
29,Existing,2007,Rs.1016000.0,"COUNTRYSIDE CRAFT MALL, INC.",No,Urban,Rs.0.0,4,453220,Rs.2032000.0,Rs.3167969.2800000003,126,0,City Union Bank Ltd.,Yes,0
30,Existing,2005,Rs.345440.0,SOLUTIONS & ASSOCIATES LLC,No,Urban,Rs.382259.84,3,561310,Rs.406400.0,Rs.406400.0,105,1,Tamilnad Mercantile Bank Ltd.,0,1
31,Existing,2005,Rs.2032000.0,"CWIL Investments, Inc.",No,Urban,Rs.3799596.16,2,541611,Rs.4064000.0,Rs.6908800.0,52,1,ICICI Bank Ltd.,No,1
32,Existing,1997,Rs.60959024.64,HOWARD JOHNSON EXPRESS INN,No,Undefined,Rs.69369228.8,1,0,Rs.97617280.0,Rs.97617280.0,375,39555,IDBI Bank Limited,0,1
33,New,1994,Rs.51816000.0,TGC INNS LTD.,No,Undefined,Rs.36795699.84,27,0,Rs.69088000.0,Rs.69088000.0,189,1,Coastal Local Area Bank Ltd,No,1
34,New,1996,Rs.26743152.0,BRACEY POULTRY FARM,No,Undefined,Rs.0.0,1,112320,Rs.35657536.0,Rs.35657536.0,270,1,Krishna Bhima Samruddhi LAB Ltd,No,0
35,Existing,2007,Rs.1381760.0,The Upper Room Embroidery Shop,No,Urban,Rs.592612.48,2,451130,Rs.1625600.0,Rs.1625600.0,21,0,Tamilnad Mercantile Bank Ltd.,No,1
36,Existing,1999,Rs.13911072.0,MCDONALD AG CORPORATION,No,Urban,Rs.0.0,16,422910,Rs.18548096.0,Rs.18548096.0,126,1,Karur Vysya Bank Ltd.,0,0
37,Existing,2004,Rs.5181600.0,BEANE ELECTRICAL SERVICE,Yes,Urban,Rs.2870321.92,1,238210,Rs.6096000.0,Rs.6096000.0,38,1,Subhadra Local Bank Ltd,0,1
38,Existing,1997,Rs.2844800.0,"STANTON HAULING, INC.",No,Undefined,Rs.0.0,12,0,Rs.5689600.0,Rs.5689600.0,90,1,Dhanlaxmi Bank Ltd.,0,0
39,Existing,1993,Rs.1463040.0,"TRUCK LOAD SERVICE, INC.",No,Undefined,Rs.0.0,16,0,Rs.1625600.0,Rs.1625600.0,36,1,ICICI Bank Ltd.,No,0
40,Existing,2003,Rs.1016000.0,NORTH COUNTRY ASSOCIATES LLC,No,Urban,Rs.0.0,2,531210,Rs.2032000.0,Rs.2032000.0,126,1,City Union Bank Ltd.,T,0
41,Existing,2006,Rs.1016000.0,"Jazfam Associates, Inc.",No,Rural,Rs.0.0,2,561110,Rs.2032000.0,Rs.2032000.0,54,0,Au Small Finance Bank Ltd.,No,0
42,Existing,2005,Rs.10241280.0,DOMINOS PIZZA 7964,No,Urban,Rs.8460760.32,14,722211,Rs.13655040.0,Rs.13655040.0,141,24850,Capital Small Finance Bank Ltd,No,1
43,Existing,2002,Rs.1016000.0,CAPITAL TRANSPORTATION SERVICE,No,Urban,Rs.0.0,9,488210,Rs.2032000.0,Rs.788497.28,126,1,City Union Bank Ltd.,Yes,0
44,New,2002,Rs.5181600.0,Thomas W. Wright,Yes,Urban,Rs.0.0,4,541211,Rs.6096000.0,Rs.6096000.0,90,1,Fincare Small Finance Bank Ltd.,0,0
45,Existing,1995,Rs.950976.0,C.J.'S DRIVE INN,Yes,Undefined,Rs.0.0,7,0,Rs.1056640.0,Rs.1056640.0,90,1,Equitas Small Finance Bank Ltd,,0
46,Existing,2006,Rs.23652480.0,"Welroc Pizza, Inc.",No,Urban,Rs.0.0,10,722211,Rs.31536640.0,Rs.31536640.0,180,0,ESAF Small Finance Bank Ltd.,No,0
47,New,2013,Rs.1324864.0,Matthew N. MaCaulay,No,Rural,Rs.0.0,1,484121,Rs.2649728.0,Rs.2649728.0,90,0,Jammu & Kashmir Bank Ltd.,No,0
48,Existing,2002,Rs.21945600.0,UNICORD INTERNATIONAL,No,Urban,Rs.0.0,60,313221,Rs.29260800.0,Rs.29260800.0,126,1,Suryoday Small Finance Bank Ltd.,No,0
49,New,2007,Rs.345440.0,Pay Less Insurance,No,Urban,Rs.0.0,2,524128,Rs.406400.0,Rs.406400.0,126,0,Ujjivan Small Finance Bank Ltd.,No,0
